x1,x2,x3,x4,x5,x6,x7
0.0,0.0,0.0,0.0,-0.8611337769059635,0.0,0.0
0.0,-0.9672823310932139,0.0,0.0,0.0,0.0,0.0
0.0,-0.8007308891339879,0.0,-0.259412558575268,0.0,-0.21785432101537672,0.0
0.0,0.0,0.0,-0.9645412495626788,-0.09256662152965034,0.0,0.0
0.0,0.0,0.0,-0.8618715208105039,0.0,-0.12261542730541453,0.0
0.0,-0.6625423864385795,-0.8975196745316885,0.0,-0.5484765176522262,-0.1342604481815317,-0.7533789136111162
-0.39824189519847675,-0.1719371479983367,-0.7163665316079908,0.0,-0.5580118516201313,0.0,-0.4028260293727617
-0.10415716496976457,0.0,-0.05522132824004755,-0.10282741989285449,-0.14979606896288922,0.0,0.0
-0.2594884401699731,-0.8300725941903644,-0.616570303318934,0.0,0.0,0.0,-0.3454688020947576
0.0,0.0,0.0,0.0,0.0,-0.8893474527434149,0.0
